交易序号,入场时间,入场_开盘价,入场_最高价,入场_最低价,入场_收盘价,入场_成交量,入场_4h收盘价,入场_4h上轨,入场_4h中轨,入场_4h下轨,入场_4h宽度%,入场_价格vs上轨,入场_1h上轨,入场_1h中轨,入场_1h下轨,入场_宽度达标,入场_上穿上轨,入场_Armed当根,入场_Armed持续,入场_HLH信号,入场_结构高,入场_结构低,入场_结构类型,入场信号,止损价(1%),止损距离%,出场时间,出场_收盘价,出场_4h收盘价,出场_4h下轨,出场_4h宽度%,出场_Armed状态,出场_跌破下轨,出场原因,出场详情,持仓时长(小时),盈亏点数,盈亏%,盈亏金额,盈亏状态,持仓期最高价,持仓期最低价,累计盈亏%,累计盈亏金额
49,2025-07-10 05:00:00+00:00,2779.09,2785.28,2772.96,2781.8,17596.6143,2776.13,2762.4022360187514,2608.8185000000003,2455.234763981249,11.77419862813385,13.7277639812487,2840.706282599857,2718.079,2595.4517174001435,是,是,是,是,是,2785.28,2772.96,1,1,2753.982,1.0,2025-07-10 08:00:00+00:00,2788.5,2791.09,2447.350979421539,13.16901031972651,是,否,结构转弱,低点2783.04 < 前低点2787.12,3.0,6.699999999999818,0.2408512473937673,6.699999999999818,盈利,2823.18,2780.0,5.069482460552552,97.58999999999969
50,2025-07-10 13:00:00+00:00,2778.73,2795.0,2772.57,2784.81,30485.229,2778.69,2815.0230912169927,2629.919,2444.814908783007,14.076790290270749,-36.33309121699267,2810.308711422289,2772.7785,2735.2482885777104,是,否,否,是,是,2795.0,2772.57,1,1,2756.9619,1.0,2025-07-10 18:00:00+00:00,2811.39,2769.32,2446.04981693269,14.655846031647979,是,否,结构转弱,低点2795.78 < 前低点2802.00,5.0,26.579999999999927,0.9544636797483466,26.579999999999927,盈利,2840.69,2758.78,6.0239461403008985,124.16999999999962
51,2025-07-11 05:00:00+00:00,2970.24,3029.55,2967.7,3004.87,85692.2067,2969.74,2957.472813948369,2694.2915,2431.11018605163,19.53621677152377,12.267186051630688,3051.197510341142,2872.871,2694.5444896588583,是,是,是,是,是,3029.55,2967.7,1,1,2974.8213,1.0,2025-07-11 07:00:00+00:00,2968.49,2968.49,2435.7504274048697,20.610614082745972,是,否,止损,价格2968.49触发1%止损线2974.82,2.0,-36.38000000000011,-1.2107012948979528,-36.38000000000011,亏损,3026.75,2966.77,4.813244845402946,87.78999999999951
52,2025-07-11 17:00:00+00:00,2967.54,2999.57,2964.0,2993.31,27821.1189,2951.09,3050.2030738990334,2757.768,2465.3329261009667,21.208098280858533,-99.11307389903322,3021.751084674312,2979.0165,2936.281915325688,是,否,否,是,是,2999.57,2964.0,1,1,2963.3768999999998,1.0,2025-07-11 19:00:00+00:00,3007.6,3007.6,2479.942643790542,21.54773546282595,是,否,结构转弱,低点2978.44 < 前低点2983.51,2.0,14.289999999999964,0.47739793071883513,14.289999999999964,盈利,3010.39,2978.44,5.290642776121781,102.07999999999947
53,2025-07-12 09:00:00+00:00,2966.74,2976.67,2962.11,2974.08,10665.6415,2962.85,3111.335798613069,2834.2215,2557.1072013869307,19.55487943430458,-148.48579861306916,3000.958217749067,2967.7705,2934.5827822509323,是,否,否,是,是,2976.67,2962.11,1,1,2944.3392,1.0,2025-07-12 11:00:00+00:00,2963.39,2963.39,2594.9786522916866,18.07519148853494,是,否,结构转弱,低点2961.21 < 前低点2967.28,2.0,-10.690000000000055,-0.3594388853023474,-10.690000000000055,亏损,2979.78,2961.21,4.931203890819433,91.38999999999942
54,2025-07-17 17:00:00+00:00,3394.6,3428.8,3389.08,3424.05,34127.8141,3420.49,3511.7611426871485,3163.4045,2815.0478573128507,22.024160532562238,-91.27114268714877,3487.46219352145,3401.9790000000003,3316.4958064785505,是,否,否,是,是,3428.8,3389.08,1,1,3389.8095000000003,1.0,2025-07-17 19:00:00+00:00,3412.33,3412.33,2820.322052717865,22.70126199542875,是,否,结构转弱,低点3403.69 < 前低点3418.40,2.0,-11.720000000000255,-0.3422847213095678,-11.720000000000255,亏损,3455.54,3403.69,4.5889191695098654,79.66999999999916
55,2025-07-17 21:00:00+00:00,3420.76,3500.0,3417.38,3468.0,70734.2493,3412.33,3542.5479472821344,3181.435,2820.322052717865,22.70126199542875,-130.21794728213445,3494.163158844672,3415.9405,3337.717841155328,是,否,否,是,是,3500.0,3417.38,1,1,3433.32,1.0,2025-07-18 00:00:00+00:00,3538.17,3476.87,2829.822346480644,23.39295621426561,是,否,结构转弱,低点3458.68 < 前低点3461.90,3.0,70.17000000000007,2.0233564013840852,70.17000000000007,盈利,3540.52,3451.42,6.612275570893951,149.83999999999924
56,2025-07-18 21:00:00+00:00,3517.3,3571.93,3515.12,3553.9,23524.9401,3551.59,3738.5967533969406,3354.737,2970.87724660306,22.88464063781694,-187.00675339694044,3673.4378228328,3599.4755,3525.513177167199,是,否,否,是,是,3571.93,3515.12,1,1,3518.361,1.0,2025-07-18 23:00:00+00:00,3546.92,3546.92,3017.382215911906,21.46124272784699,是,否,结构转弱,低点3506.83 < 前低点3531.31,2.0,-6.980000000000018,-0.19640395058949373,-6.980000000000018,亏损,3576.76,3506.83,6.415871620304458,142.85999999999922
57,2025-07-19 02:00:00+00:00,3545.0,3576.61,3534.04,3569.5,20031.8586,3546.92,3742.790784088094,3380.0865,3017.382215911906,21.46124272784699,-195.87078408809384,3652.11181364138,3578.6535000000003,3505.1951863586205,是,否,否,是,是,3576.61,3534.04,1,1,3533.805,1.0,2025-07-19 05:00:00+00:00,3586.31,3592.98,3070.5501861159883,19.787079545434878,是,否,结构转弱,低点3575.00 < 前低点3580.54,3.0,16.809999999999945,0.47093430452444174,16.809999999999945,盈利,3608.3,3566.41,6.8868059248288995,159.66999999999916
58,2025-07-19 18:00:00+00:00,3543.0,3562.0,3540.03,3552.8,12454.3622,3552.0,3726.647930343825,3470.686,3214.724069656176,14.749933030174711,-174.647930343825,3594.771720202805,3558.8950000000004,3523.018279797196,是,否,否,是,是,3562.0,3540.03,1,1,3517.272,1.0,2025-07-19 21:00:00+00:00,3571.44,3577.61,3281.2805023820406,12.07093315574626,是,否,结构转弱,低点3539.00 < 前低点3563.29,3.0,18.639999999999873,0.524656608871872,18.639999999999873,盈利,3593.0,3539.0,7.411462533700772,178.30999999999904
59,2025-07-19 22:00:00+00:00,3571.44,3590.69,3562.67,3576.7,10194.8438,3577.61,3702.80249761796,3492.0415000000003,3281.2805023820406,12.07093315574626,-125.19249761795982,3595.326423803336,3564.183,3533.039576196664,是,否,否,是,是,3590.69,3562.67,1,1,3540.933,1.0,2025-07-20 11:00:00+00:00,3756.71,3756.71,3384.22360463144,9.83725950939455,是,否,结构转弱,低点3696.00 < 前低点3697.20,13.0,180.01000000000022,5.03285151116952,180.01000000000022,盈利,3766.45,3574.23,12.444314044870293,358.31999999999925
60,2025-07-20 21:00:00+00:00,3740.19,3772.97,3727.49,3770.3,24081.5683,3749.93,3788.64618503028,3592.0315,3395.41681496972,10.94726953426106,-38.71618503028003,3826.247626947859,3718.9815,3611.715373052142,是,否,否,是,是,3772.97,3727.49,1,1,3732.597,1.0,2025-07-21 00:00:00+00:00,3746.7,3756.69,3416.53869510741,10.65731509087278,是,否,结构转弱,低点3709.46 < 前低点3733.27,3.0,-23.600000000000364,-0.6259448850224216,-23.600000000000364,亏损,3771.55,3681.6,11.81836915984787,334.7199999999989
